Rec,Name,Team,Positions,Rank,ADP,PlayerInfo,PTS,Projections,Link,Last,Description,Status,Year
759,Matt Moore,LAA,RP,764.0,763.0,Matt Moore (LAA - RP),144,3-3-3SV|4.28|1.38|9.29K9,https://www.fantasypros.com/mlb/players/matt-moore.php,Moore,"3-3-3SV|4.28|1.38|9.29K9
",,2023
760,Jake McGee,FA,RP,765.0,999.0,Jake McGee (FA - RP),55,1-1-4SV|6.78|1.29|8.79K9,https://www.fantasypros.com/mlb/players/jake-mcgee.php,McGee,"1-1-4SV|6.78|1.29|8.79K9
",RET,2023
761,Jordan Lawlar,ARI,SS,766.0,704.0,Jordan Lawlar (ARI - SS),27,.278|6R|1HR|5RBI|2SB,https://www.fantasypros.com/mlb/players/jordan-lawlar.php,Lawlar,".278|6R|1HR|5RBI|2SB
",MiLB,2023
762,Enmanuel Valdez,BOS,2B,767.0,827.0,Enmanuel Valdez (BOS - 2B),13,.236|3R|1HR|4RBI|0SB,https://www.fantasypros.com/mlb/players/enmanuel-valdez.php,Valdez,".236|3R|1HR|4RBI|0SB
",MiLB,2023
763,Jake Alu,WSH,3B,768.0,802.0,Jake Alu (WSH - 3B),71,.251|17R|4HR|17RBI|3SB,https://www.fantasypros.com/mlb/players/jake-alu.php,Alu,".251|17R|4HR|17RBI|3SB
",MiLB,2023
764,Madison Bumgarner,ARI,SP,769.0,515.0,Madison Bumgarner (ARI - SP),175,7-11-0SV|4.90|1.39|6.73K9,https://www.fantasypros.com/mlb/players/madison-bumgarner.php,Bumgarner,"7-11-0SV|4.90|1.39|6.73K9
",,2023
765,Edwin Rios,CHC,DH,770.0,672.0,Edwin Rios (CHC - DH),46,.215|16R|6HR|19RBI|0SB,https://www.fantasypros.com/mlb/players/edwin-rios.php,Rios,".215|16R|6HR|19RBI|0SB
",,2023
766,Korey Lee,HOU,C,771.0,810.0,Korey Lee (HOU - C),53,.214|16R|5HR|17RBI|2SB,https://www.fantasypros.com/mlb/players/korey-lee.php,Lee,".214|16R|5HR|17RBI|2SB
",,2023
767,Keegan Akin,BAL,RP,772.0,829.0,Keegan Akin (BAL - RP),127,3-3-0SV|4.22|1.33|8.75K9,https://www.fantasypros.com/mlb/players/keegan-akin-p.php,Akin,"3-3-0SV|4.22|1.33|8.75K9
",,2023
768,Darin Ruf,NYM,"1B,DH,OF",773.0,686.0,"Darin Ruf (NYM - 1B,DH,OF)",75,.225|22R|6HR|21RBI|1SB,https://www.fantasypros.com/mlb/players/darin-ruf.php,Ruf,".225|22R|6HR|21RBI|1SB
",,2023
769,Peyton Battenfield,CLE,SP,774.0,999.0,Peyton Battenfield (CLE - SP),53,1-1-0SV|4.23|1.30|6.86K9,https://www.fantasypros.com/mlb/players/peyton-battenfield.php,Battenfield,"1-1-0SV|4.23|1.30|6.86K9
",MiLB,2023
770,Kevin Smith,OAK,3B,776.0,825.0,Kevin Smith (OAK - 3B),49,.210|14R|4HR|15RBI|3SB,https://www.fantasypros.com/mlb/players/kevin-smith-ss.php,Smith,".210|14R|4HR|15RBI|3SB
",,2023
771,Orlando Arcia,ATL,2B,778.0,591.0,Orlando Arcia (ATL - 2B),153,.247|37R|10HR|36RBI|3SB,https://www.fantasypros.com/mlb/players/orlando-arcia.php,Arcia,".247|37R|10HR|36RBI|3SB
",,2023
772,Connor Thomas,STL,,779.0,999.0,Connor Thomas (STL - ),39,1-1-0SV|4.17|1.33|6.23K9,https://www.fantasypros.com/mlb/players/connor-thomas-.php,Thomas,"1-1-0SV|4.17|1.33|6.23K9
",MiLB,2023
773,Yerry De Los Santos,PIT,RP,780.0,999.0,Yerry De Los Santos (PIT - RP),92,2-3-1SV|4.39|1.28|8.94K9,https://www.fantasypros.com/mlb/players/yerry-de-los-santos.php,De Los Santos,"2-3-1SV|4.39|1.28|8.94K9
",,2023
774,Adrian Sampson,CHC,SP,781.0,692.0,Adrian Sampson (CHC - SP),89,3-4-0SV|4.61|1.38|6.18K9,https://www.fantasypros.com/mlb/players/adrian-sampson.php,Sampson,"3-4-0SV|4.61|1.38|6.18K9
",,2023
775,Corey Knebel,FA,RP,782.0,891.0,Corey Knebel (FA - RP),101,3-3-4SV|4.38|1.34|9.37K9,https://www.fantasypros.com/mlb/players/corey-knebel.php,Knebel,"3-3-4SV|4.38|1.34|9.37K9
",FA,2023
776,Javier Assad,CHC,SP,783.0,568.0,Javier Assad (CHC - SP),79,3-3-0SV|4.61|1.42|6.91K9,https://www.fantasypros.com/mlb/players/javier-assad.php,Assad,"3-3-0SV|4.61|1.42|6.91K9
",,2023
777,Tyler Naquin,MIL,OF,784.0,708.0,Tyler Naquin (MIL - OF),62,.236|16R|5HR|17RBI|2SB,https://www.fantasypros.com/mlb/players/tyler-naquin.php,Naquin,".236|16R|5HR|17RBI|2SB
",NRI,2023
778,Alex Reyes,LAD,RP,785.0,615.0,Alex Reyes (LAD - RP),65,2-2-3SV|4.87|1.42|10.83K9,https://www.fantasypros.com/mlb/players/alexander-reyes.php,Reyes,"2-2-3SV|4.87|1.42|10.83K9
",,2023
779,Roberto Perez,SF,C,786.0,680.0,Roberto Perez (SF - C),47,.199|17R|6HR|18RBI|1SB,https://www.fantasypros.com/mlb/players/roberto-perez.php,Perez,".199|17R|6HR|18RBI|1SB
",NRI,2023
780,Max Meyer,MIA,SP,787.0,920.0,Max Meyer (MIA - SP),35,1-1-0SV|4.82|1.25|7.28K9,https://www.fantasypros.com/mlb/players/max-meyer.php,Meyer,"1-1-0SV|4.82|1.25|7.28K9
",,2023
781,Cooper Hummel,SEA,OF,788.0,844.0,Cooper Hummel (SEA - OF),45,.212|13R|3HR|11RBI|2SB,https://www.fantasypros.com/mlb/players/cooper-hummel.php,Hummel,".212|13R|3HR|11RBI|2SB
",,2023
782,Hunter Gaddis,CLE,SP,789.0,999.0,Hunter Gaddis (CLE - SP),62,2-3-0SV|5.10|1.37|8.79K9,https://www.fantasypros.com/mlb/players/hunter-gaddis.php,Gaddis,"2-3-0SV|5.10|1.37|8.79K9
",,2023
783,Michael Grove,LAD,SP,790.0,765.0,Michael Grove (LAD - SP),75,2-3-0SV|4.94|1.37|8.01K9,https://www.fantasypros.com/mlb/players/michael-grove.php,Grove,"2-3-0SV|4.94|1.37|8.01K9
",,2023
784,Alec Burleson,STL,OF,791.0,690.0,Alec Burleson (STL - OF),35,.248|9R|2HR|9RBI|1SB,https://www.fantasypros.com/mlb/players/alec-burleson.php,Burleson,".248|9R|2HR|9RBI|1SB
",,2023
785,Adrian Martinez,OAK,SP,792.0,846.0,Adrian Martinez (OAK - SP),75,3-4-0SV|4.97|1.43|7.89K9,https://www.fantasypros.com/mlb/players/adrian-martinez.php,Martinez,"3-4-0SV|4.97|1.43|7.89K9
",MiLB,2023
786,Jose Quijada,LAA,RP,793.0,999.0,Jose Quijada (LAA - RP),122,2-3-1SV|4.23|1.32|11.01K9,https://www.fantasypros.com/mlb/players/jose-quijada.php,Quijada,"2-3-1SV|4.23|1.32|11.01K9
",,2023
787,Adam Oller,OAK,SP,794.0,999.0,Adam Oller (OAK - SP),76,3-4-0SV|5.08|1.51|7.05K9,https://www.fantasypros.com/mlb/players/adam-oller.php,Oller,"3-4-0SV|5.08|1.51|7.05K9
",,2023
788,Sam Haggerty,SEA,OF,795.0,779.0,Sam Haggerty (SEA - OF),71,.228|22R|3HR|17RBI|10SB,https://www.fantasypros.com/mlb/players/samuel-haggerty.php,Haggerty,".228|22R|3HR|17RBI|10SB
",,2023
789,Thad Ward,WSH,SP,796.0,888.0,Thad Ward (WSH - SP),61,1-2-0SV|4.30|1.36|9.02K9,https://www.fantasypros.com/mlb/players/thad-ward.php,Ward,"1-2-0SV|4.30|1.36|9.02K9
",,2023
790,Cesar Hernandez,DET,2B,797.0,517.0,Cesar Hernandez (DET - 2B),90,.244|25R|3HR|18RBI|3SB,https://www.fantasypros.com/mlb/players/cesar-hernandez.php,Hernandez,".244|25R|3HR|18RBI|3SB
",MiLB,2023
791,Austin Barnes,LAD,C,798.0,491.0,Austin Barnes (LAD - C),92,.226|25R|6HR|23RBI|2SB,https://www.fantasypros.com/mlb/players/austin-barnes.php,Barnes,".226|25R|6HR|23RBI|2SB
",,2023
792,Manuel Rodriguez,CHC,RP,799.0,807.0,Manuel Rodriguez (CHC - RP),26,1-1-1SV|6.24|1.48|8.23K9,https://www.fantasypros.com/mlb/players/manuel-rodriguez.php,Rodriguez,"1-1-1SV|6.24|1.48|8.23K9
",NRI,2023
793,Mike Brosseau,MIL,3B,800.0,675.0,Mike Brosseau (MIL - 3B),62,.233|18R|5HR|18RBI|2SB,https://www.fantasypros.com/mlb/players/michael-brosseau.php,Brosseau,".233|18R|5HR|18RBI|2SB
",,2023
794,Eguy Rosario,SD,3B,801.0,766.0,Eguy Rosario (SD - 3B),22,.235|6R|1HR|5RBI|1SB,https://www.fantasypros.com/mlb/players/eguy-rosario.php,Rosario,".235|6R|1HR|5RBI|1SB
",IL60,2023
795,Casey Mize,DET,SP,802.0,841.0,Casey Mize (DET - SP),28,1-1-0SV|4.74|1.23|6.75K9,https://www.fantasypros.com/mlb/players/casey-mize.php,Mize,"1-1-0SV|4.74|1.23|6.75K9
",IL60,2023
796,Brad Hand,COL,RP,803.0,602.0,Brad Hand (COL - RP),116,3-3-3SV|4.72|1.41|8.32K9,https://www.fantasypros.com/mlb/players/brad-hand.php,Hand,"3-3-3SV|4.72|1.41|8.32K9
",,2023
797,Tucker Barnhart,CHC,C,804.0,586.0,Tucker Barnhart (CHC - C),95,.226|27R|5HR|27RBI|0SB,https://www.fantasypros.com/mlb/players/tucker-barnhart.php,Barnhart,".226|27R|5HR|27RBI|0SB
",,2023
798,Tyler Rogers,SF,RP,805.0,481.0,Tyler Rogers (SF - RP),150,3-3-3SV|4.03|1.32|6.42K9,https://www.fantasypros.com/mlb/players/tyler-rogers.php,Rogers,"3-3-3SV|4.03|1.32|6.42K9
",,2023
799,Zach Brzykcy,WSH,,806.0,999.0,Zach Brzykcy (WSH - ),20,1-1-0SV|4.51|1.39|9.47K9,https://www.fantasypros.com/mlb/players/zach-brzykcy.php,Brzykcy,"1-1-0SV|4.51|1.39|9.47K9
",MiLB,2023
800,Zach McKinstry,CHC,"2B,3B",807.0,702.0,"Zach McKinstry (CHC - 2B,3B)",55,.237|15R|3HR|14RBI|2SB,https://www.fantasypros.com/mlb/players/zach-mckinstry.php,McKinstry,".237|15R|3HR|14RBI|2SB
",,2023
801,Bryce Montes de Oca,NYM,RP,808.0,999.0,Bryce Montes de Oca (NYM - RP),50,1-1-0SV|5.04|1.46|10.55K9,https://www.fantasypros.com/mlb/players/bryce-montes-de-oca.php,Montes de Oca,"1-1-0SV|5.04|1.46|10.55K9
",,2023
802,Griffin Canning,LAA,SP,809.0,627.0,Griffin Canning (LAA - SP),65,2-3-0SV|4.98|1.37|8.53K9,https://www.fantasypros.com/mlb/players/griffin-canning.php,Canning,"2-3-0SV|4.98|1.37|8.53K9
",,2023
803,Emmanuel Rivera,ARI,3B,810.0,709.0,Emmanuel Rivera (ARI - 3B),92,.243|25R|6HR|24RBI|2SB,https://www.fantasypros.com/mlb/players/emmanuel-rivera.php,Rivera,".243|25R|6HR|24RBI|2SB
",,2023
804,Johan Oviedo,PIT,"RP,SP",811.0,637.0,"Johan Oviedo (PIT - RP,SP)",112,4-6-0SV|4.75|1.44|7.96K9,https://www.fantasypros.com/mlb/players/johan-oviedo.php,Oviedo,"4-6-0SV|4.75|1.44|7.96K9
",,2023
805,Julian Merryweather,CHC,RP,812.0,999.0,Julian Merryweather (CHC - RP),74,2-3-0SV|5.08|1.42|9.02K9,https://www.fantasypros.com/mlb/players/julian-merryweather.php,Merryweather,"2-3-0SV|5.08|1.42|9.02K9
",,2023
806,Connor Norby,BAL,2B,813.0,693.0,Connor Norby (BAL - 2B),19,.263|4R|2HR|4RBI|1SB,https://www.fantasypros.com/mlb/players/connor-norby.php,Norby,".263|4R|2HR|4RBI|1SB
",MiLB,2023
807,Manny Pina,OAK,C,814.0,703.0,Manny Pina (OAK - C),74,.207|18R|6HR|21RBI|0SB,https://www.fantasypros.com/mlb/players/manny-pina.php,Pina,".207|18R|6HR|21RBI|0SB
",,2023
808,Gavin Williams,CLE,SP,815.0,732.0,Gavin Williams (CLE - SP),22,0-0-0SV|4.70|1.34|8.75K9,https://www.fantasypros.com/mlb/players/gavin-williams.php,Williams,"0-0-0SV|4.70|1.34|8.75K9
",MiLB,2023
809,Jonathan Villar,FA,"2B,3B",816.0,607.0,"Jonathan Villar (FA - 2B,3B)",61,.229|16R|3HR|13RBI|6SB,https://www.fantasypros.com/mlb/players/jonathan-villar.php,Villar,".229|16R|3HR|13RBI|6SB
",FA,2023
810,Lenyn Sosa,CWS,2B,817.0,999.0,Lenyn Sosa (CWS - 2B),36,.238|11R|2HR|10RBI|1SB,https://www.fantasypros.com/mlb/players/lenyn-sosa.php,Sosa,".238|11R|2HR|10RBI|1SB
",MiLB,2023
811,Mike Burrows,PIT,SP,818.0,999.0,Mike Burrows (PIT - SP),69,2-3-0SV|4.40|1.33|8.41K9,https://www.fantasypros.com/mlb/players/mike-burrows.php,Burrows,"2-3-0SV|4.40|1.33|8.41K9
",MiLB,2023
812,Robert Stephenson,PIT,RP,819.0,999.0,Robert Stephenson (PIT - RP),121,2-3-1SV|4.48|1.28|9.19K9,https://www.fantasypros.com/mlb/players/robert-stephenson.php,Stephenson,"2-3-1SV|4.48|1.28|9.19K9
",,2023
813,Luis Gonzalez,SF,OF,820.0,818.0,Luis Gonzalez (SF - OF),49,.238|13R|2HR|12RBI|3SB,https://www.fantasypros.com/mlb/players/luis-gonzalez.php,Gonzalez,".238|13R|2HR|12RBI|3SB
",,2023
814,Geraldo Perdomo,ARI,SS,821.0,659.0,Geraldo Perdomo (ARI - SS),83,.224|24R|3HR|18RBI|5SB,https://www.fantasypros.com/mlb/players/geraldo-perdomo.php,Perdomo,".224|24R|3HR|18RBI|5SB
",,2023
815,Beau Brieske,DET,SP,822.0,776.0,Beau Brieske (DET - SP),88,3-4-0SV|4.47|1.30|6.66K9,https://www.fantasypros.com/mlb/players/beau-brieske.php,Brieske,"3-4-0SV|4.47|1.30|6.66K9
",,2023
816,Ivan Herrera,STL,C,823.0,849.0,Ivan Herrera (STL - C),19,.214|5R|1HR|5RBI|0SB,https://www.fantasypros.com/mlb/players/ivan-herrera.php,Herrera,".214|5R|1HR|5RBI|0SB
",MiLB,2023
817,Brian Serven,COL,C,824.0,848.0,Brian Serven (COL - C),89,.228|23R|7HR|23RBI|1SB,https://www.fantasypros.com/mlb/players/brian-serven.php,Serven,".228|23R|7HR|23RBI|1SB
",,2023
818,Colton Cowser,BAL,OF,825.0,668.0,Colton Cowser (BAL - OF),32,.237|11R|2HR|10RBI|1SB,https://www.fantasypros.com/mlb/players/colton-cowser.php,Cowser,".237|11R|2HR|10RBI|1SB
",MiLB,2023
819,Josh Harrison,PHI,"2B,3B",826.0,999.0,"Josh Harrison (PHI - 2B,3B)",111,.254|27R|5HR|23RBI|3SB,https://www.fantasypros.com/mlb/players/josh-harrison.php,Harrison,".254|27R|5HR|23RBI|3SB
",,2023
820,Austin Hedges,PIT,C,827.0,820.0,Austin Hedges (PIT - C),73,.186|25R|7HR|25RBI|2SB,https://www.fantasypros.com/mlb/players/austin-hedges.php,Hedges,".186|25R|7HR|25RBI|2SB
",,2023
821,Miguel Sano,FA,1B,828.0,492.0,Miguel Sano (FA - 1B),79,.205|24R|10HR|26RBI|1SB,https://www.fantasypros.com/mlb/players/miguel-sano.php,Sano,".205|24R|10HR|26RBI|1SB
",FA,2023
822,Austin Voth,BAL,"RP,SP",830.0,697.0,"Austin Voth (BAL - RP,SP)",98,3-3-0SV|4.54|1.37|8.16K9,https://www.fantasypros.com/mlb/players/austin-voth.php,Voth,"3-3-0SV|4.54|1.37|8.16K9
",,2023
823,Simeon Woods Richardson,MIN,SP,831.0,999.0,Simeon Woods Richardson (MIN - SP),31,1-1-0SV|4.82|1.22|6.99K9,https://www.fantasypros.com/mlb/players/simeon-woods-richardson-p.php,Woods Richardson,"1-1-0SV|4.82|1.22|6.99K9
",MiLB,2023
824,Tim Locastro,NYM,OF,832.0,999.0,Tim Locastro (NYM - OF),18,.215|6R|1HR|4RBI|2SB,https://www.fantasypros.com/mlb/players/tim-locastro.php,Locastro,".215|6R|1HR|4RBI|2SB
",NRI,2023
825,Michael Chavis,WSH,1B,833.0,828.0,Michael Chavis (WSH - 1B),53,.229|14R|5HR|15RBI|1SB,https://www.fantasypros.com/mlb/players/michael-chavis.php,Chavis,".229|14R|5HR|15RBI|1SB
",NRI,2023
826,Curt Casali,CIN,C,834.0,999.0,Curt Casali (CIN - C),69,.216|21R|6HR|22RBI|0SB,https://www.fantasypros.com/mlb/players/curt-casali.php,Casali,".216|21R|6HR|22RBI|0SB
",,2023
827,Romy Gonzalez,CWS,2B,835.0,999.0,Romy Gonzalez (CWS - 2B),48,.236|16R|4HR|15RBI|3SB,https://www.fantasypros.com/mlb/players/romy-gonzalez.php,Gonzalez,".236|16R|4HR|15RBI|3SB
",,2023
828,Harold Castro,COL,"1B,3B",836.0,722.0,"Harold Castro (COL - 1B,3B)",102,.286|23R|4HR|25RBI|1SB,https://www.fantasypros.com/mlb/players/harold-castro.php,Castro,".286|23R|4HR|25RBI|1SB
",NRI,2023
829,Trevor Rosenthal,DET,RP,837.0,999.0,Trevor Rosenthal (DET - RP),65,1-1-2SV|4.60|1.48|10.84K9,https://www.fantasypros.com/mlb/players/trevor-rosenthal.php,Rosenthal,"1-1-2SV|4.60|1.48|10.84K9
",NRI,2023
830,Joey Ortiz,BAL,SS,839.0,737.0,Joey Ortiz (BAL - SS),21,.246|6R|1HR|6RBI|0SB,https://www.fantasypros.com/mlb/players/joey-ortiz.php,Ortiz,".246|6R|1HR|6RBI|0SB
",MiLB,2023
831,Jordan Westburg,BAL,SS,840.0,728.0,Jordan Westburg (BAL - SS),30,.233|10R|2HR|9RBI|1SB,https://www.fantasypros.com/mlb/players/jordan-westburg.php,Westburg,".233|10R|2HR|9RBI|1SB
",NRI,2023
832,Brent Honeywell Jr.,SD,RP,841.0,999.0,Brent Honeywell Jr. (SD - RP),57,2-2-0SV|4.17|1.34|7.21K9,https://www.fantasypros.com/mlb/players/brent-honeywell.php,Honeywell Jr.,"2-2-0SV|4.17|1.34|7.21K9
",,2023
833,Brad Miller,TEX,"3B,DH,OF",842.0,805.0,"Brad Miller (TEX - 3B,DH,OF)",115,.220|34R|11HR|36RBI|4SB,https://www.fantasypros.com/mlb/players/brad-miller.php,Miller,".220|34R|11HR|36RBI|4SB
",,2023
834,Josh Winder,MIN,SP,843.0,714.0,Josh Winder (MIN - SP),76,3-3-0SV|4.57|1.32|7.04K9,https://www.fantasypros.com/mlb/players/josh-winder.php,Winder,"3-3-0SV|4.57|1.32|7.04K9
",,2023
835,Cristian Pache,OAK,OF,844.0,750.0,Cristian Pache (OAK - OF),81,.217|25R|5HR|24RBI|4SB,https://www.fantasypros.com/mlb/players/cristian-pache.php,Pache,".217|25R|5HR|24RBI|4SB
",,2023
836,Josh Smith,TEX,"3B,OF",845.0,617.0,"Josh Smith (TEX - 3B,OF)",115,.238|30R|5HR|25RBI|7SB,https://www.fantasypros.com/mlb/players/josh-smith-ss.php,Smith,".238|30R|5HR|25RBI|7SB
",,2023
837,Dakota Hudson,STL,SP,846.0,735.0,Dakota Hudson (STL - SP),119,5-4-0SV|4.19|1.44|5.80K9,https://www.fantasypros.com/mlb/players/dakota-hudson.php,Hudson,"5-4-0SV|4.19|1.44|5.80K9
",MiLB,2023
838,Luke Raley,TB,OF,847.0,999.0,Luke Raley (TB - OF),38,.222|14R|4HR|14RBI|2SB,https://www.fantasypros.com/mlb/players/lucas-raley.php,Raley,".222|14R|4HR|14RBI|2SB
",,2023
839,Jake Rogers,DET,C,848.0,999.0,Jake Rogers (DET - C),67,.206|23R|7HR|23RBI|2SB,https://www.fantasypros.com/mlb/players/jake-rogers.php,Rogers,".206|23R|7HR|23RBI|2SB
",,2023
840,Yainer Diaz,HOU,C,849.0,715.0,Yainer Diaz (HOU - C),44,.246|11R|3HR|13RBI|0SB,https://www.fantasypros.com/mlb/players/yainer-diaz-c.php,Diaz,".246|11R|3HR|13RBI|0SB
",,2023
841,Brayan Rocchio,CLE,SS,850.0,892.0,Brayan Rocchio (CLE - SS),14,.259|3R|1HR|3RBI|1SB,https://www.fantasypros.com/mlb/players/brayan-rocchio.php,Rocchio,".259|3R|1HR|3RBI|1SB
",MiLB,2023
842,Pierce Johnson,COL,RP,851.0,999.0,Pierce Johnson (COL - RP),118,3-3-1SV|4.52|1.39|10.44K9,https://www.fantasypros.com/mlb/players/pierce-johnson.php,Johnson,"3-3-1SV|4.52|1.39|10.44K9
",,2023
843,Chad Pinder,CIN,OF,852.0,999.0,Chad Pinder (CIN - OF),99,.234|30R|9HR|32RBI|1SB,https://www.fantasypros.com/mlb/players/chad-pinder.php,Pinder,".234|30R|9HR|32RBI|1SB
",NRI,2023
844,Tommy La Stella,SEA,DH,853.0,884.0,Tommy La Stella (SEA - DH),78,.242|19R|3HR|16RBI|0SB,https://www.fantasypros.com/mlb/players/tommy-la-stella.php,La Stella,".242|19R|3HR|16RBI|0SB
",,2023
845,Mitch White,TOR,SP,854.0,887.0,Mitch White (TOR - SP),105,3-3-0SV|4.48|1.39|7.47K9,https://www.fantasypros.com/mlb/players/mitchell-white.php,White,"3-3-0SV|4.48|1.39|7.47K9
",,2023
846,Konnor Pilkington,CLE,SP,855.0,881.0,Konnor Pilkington (CLE - SP),46,1-1-0SV|4.42|1.36|7.37K9,https://www.fantasypros.com/mlb/players/konnor-pilkington.php,Pilkington,"1-1-0SV|4.42|1.36|7.37K9
",MiLB,2023
847,Rafael Ortega,NYY,"DH,OF",856.0,760.0,"Rafael Ortega (NYY - DH,OF)",36,.236|9R|2HR|8RBI|3SB,https://www.fantasypros.com/mlb/players/rafael-ortega.php,Ortega,".236|9R|2HR|8RBI|3SB
",NRI,2023
848,Caleb Kilian,CHC,SP,857.0,862.0,Caleb Kilian (CHC - SP),45,1-2-0SV|4.77|1.42|8.13K9,https://www.fantasypros.com/mlb/players/caleb-kilian.php,Kilian,"1-2-0SV|4.77|1.42|8.13K9
",MiLB,2023
849,Alfonso Rivas,SD,1B,858.0,674.0,Alfonso Rivas (SD - 1B),23,.238|7R|1HR|7RBI|1SB,https://www.fantasypros.com/mlb/players/alfonso-rivas.php,Rivas,".238|7R|1HR|7RBI|1SB
",NRI,2023
850,Ryan Noda,OAK,1B,859.0,999.0,Ryan Noda (OAK - 1B),71,.210|24R|7HR|24RBI|3SB,https://www.fantasypros.com/mlb/players/ryan-noda.php,Noda,".210|24R|7HR|24RBI|3SB
",,2023
851,J.P. Feyereisen,LAD,RP,860.0,880.0,J.P. Feyereisen (LAD - RP),44,1-1-0SV|4.38|1.24|9.95K9,https://www.fantasypros.com/mlb/players/jp-feyereisen.php,Feyereisen,"1-1-0SV|4.38|1.24|9.95K9
",IL60,2023
852,Eli White,ATL,OF,861.0,999.0,Eli White (ATL - OF),15,.206|6R|1HR|4RBI|2SB,https://www.fantasypros.com/mlb/players/elijah-white.php,White,".206|6R|1HR|4RBI|2SB
",,2023
853,Xavier Edwards,MIA,2B,862.0,999.0,Xavier Edwards (MIA - 2B),10,.259|2R|0HR|2RBI|1SB,https://www.fantasypros.com/mlb/players/xavier-edwards-ss.php,Edwards,".259|2R|0HR|2RBI|1SB
",MiLB,2023
854,Genesis Cabrera,STL,RP,863.0,999.0,Genesis Cabrera (STL - RP),109,3-3-0SV|4.51|1.37|8.32K9,https://www.fantasypros.com/mlb/players/genesis-cabrera.php,Cabrera,"3-3-0SV|4.51|1.37|8.32K9
",,2023
855,Jason Foley,DET,RP,864.0,999.0,Jason Foley (DET - RP),115,2-3-2SV|4.24|1.34|6.82K9,https://www.fantasypros.com/mlb/players/jason-foley.php,Foley,"2-3-2SV|4.24|1.34|6.82K9
",,2023
856,Deivi Garcia,NYY,SP,865.0,999.0,Deivi Garcia (NYY - SP),48,2-2-0SV|5.66|1.48|8.48K9,https://www.fantasypros.com/mlb/players/deivi-garcia-p.php,Garcia,"2-2-0SV|5.66|1.48|8.48K9
",MiLB,2023
857,Jake Cave,PHI,OF,866.0,999.0,Jake Cave (PHI - OF),42,.224|15R|3HR|15RBI|2SB,https://www.fantasypros.com/mlb/players/jake-cave.php,Cave,".224|15R|3HR|15RBI|2SB
",,2023
858,Tyler Soderstrom,OAK,1B,867.0,809.0,Tyler Soderstrom (OAK - 1B),17,.235|4R|2HR|5RBI|0SB,https://www.fantasypros.com/mlb/players/tyler-soderstrom.php,Soderstrom,".235|4R|2HR|5RBI|0SB
",NRI,2023
859,Chris Rodriguez,LAA,RP,868.0,999.0,Chris Rodriguez (LAA - RP),26,1-1-0SV|5.40|1.54|9.40K9,https://www.fantasypros.com/mlb/players/chris-rodriguez.php,Rodriguez,"1-1-0SV|5.40|1.54|9.40K9
",,2023
860,Reyes Moronta,TEX,RP,869.0,847.0,Reyes Moronta (TEX - RP),37,1-1-0SV|5.37|1.43|9.27K9,https://www.fantasypros.com/mlb/players/reyes-moronta.php,Moronta,"1-1-0SV|5.37|1.43|9.27K9
",NRI,2023
861,P.J. Higgins,ARI,"1B,C",870.0,850.0,"P.J. Higgins (ARI - 1B,C)",30,.239|8R|2HR|9RBI|0SB,https://www.fantasypros.com/mlb/players/patrick-higgins.php,Higgins,".239|8R|2HR|9RBI|0SB
",NRI,2023
862,Dylan Bundy,FA,SP,871.0,723.0,Dylan Bundy (FA - SP),142,5-6-0SV|4.61|1.31|6.87K9,https://www.fantasypros.com/mlb/players/dylan-bundy.php,Bundy,"5-6-0SV|4.61|1.31|6.87K9
",FA,2023
863,Riley Adams,WSH,C,872.0,999.0,Riley Adams (WSH - C),52,.209|19R|5HR|19RBI|0SB,https://www.fantasypros.com/mlb/players/riley-adams.php,Adams,".209|19R|5HR|19RBI|0SB
",,2023
864,Nick Solak,CIN,OF,873.0,666.0,Nick Solak (CIN - OF),57,.249|15R|3HR|13RBI|2SB,https://www.fantasypros.com/mlb/players/nick-solak.php,Solak,".249|15R|3HR|13RBI|2SB
",MiLB,2023
865,Addison Barger,TOR,SS,874.0,741.0,Addison Barger (TOR - SS),21,.234|6R|2HR|7RBI|0SB,https://www.fantasypros.com/mlb/players/addison-barger.php,Barger,".234|6R|2HR|7RBI|0SB
",MiLB,2023
866,George Valera,CLE,OF,875.0,823.0,George Valera (CLE - OF),23,.233|7R|2HR|7RBI|1SB,https://www.fantasypros.com/mlb/players/george-valera.php,Valera,".233|7R|2HR|7RBI|1SB
",MiLB,2023
867,Jared Koenig,SD,SP,876.0,999.0,Jared Koenig (SD - SP),34,2-3-0SV|5.97|1.54|6.08K9,https://www.fantasypros.com/mlb/players/jared-koenig.php,Koenig,"2-3-0SV|5.97|1.54|6.08K9
",MiLB,2023
868,Ben Gamel,TB,"DH,OF",877.0,780.0,"Ben Gamel (TB - DH,OF)",51,.233|13R|3HR|12RBI|1SB,https://www.fantasypros.com/mlb/players/ben-gamel.php,Gamel,".233|13R|3HR|12RBI|1SB
",NRI,2023
869,Codi Heuer,CHC,RP,878.0,999.0,Codi Heuer (CHC - RP),53,2-2-1SV|4.81|1.36|7.74K9,https://www.fantasypros.com/mlb/players/codi-heuer.php,Heuer,"2-2-1SV|4.81|1.36|7.74K9
",IL60,2023
870,Andre Pallante,STL,"RP,SP",879.0,854.0,"Andre Pallante (STL - RP,SP)",121,3-3-0SV|3.95|1.42|6.51K9,https://www.fantasypros.com/mlb/players/andre-pallante.php,Pallante,"3-3-0SV|3.95|1.42|6.51K9
",,2023
